DRIVER_ID,amin,amax,Nmonths,Gender,Age,ZIP,OdoStart,OdoEnd,DeltaOdo,DeltaDays,AnnualMileage,ClaimTot,ClaimFlag
10140,2012-09-24 00:00:00,2013-01-22 00:00:00,4,F,27,45069.0,784,3802,3018,120 days 00:00:00.000000000,9186.0375,,0
10141,2011-06-21 00:00:00,2011-10-09 00:00:00,4,F,35,43571.0,317,5412,5095,110 days 00:00:00.000000000,16917.715909090908,,0
10142,2011-05-26 00:00:00,2012-03-05 00:00:00,9,M,70,43731.0,871,15621,14750,284 days 00:00:00.000000000,18969.850352112673,,0
10143,2009-08-18 00:00:00,2010-10-21 00:00:00,15,F,63,44420.0,17242,28751,11509,429 days 00:00:00.000000000,9798.746503496503,,0
10144,2010-11-18 00:00:00,2013-09-08 00:00:00,34,F,64,44420.0,365,39273,38908,1025 days 00:00:00.000000000,13864.533658536586,1249.97,1
10145,2011-09-13 00:00:00,2013-05-22 00:00:00,20,F,61,45459.0,298,15479,15181,617 days 00:00:00.000000000,8986.807536466775,,0
10146,2011-11-06 00:00:00,2012-11-30 00:00:00,13,M,67,45830.0,71445,90104,18659,390 days 00:00:00.000000000,17474.871153846154,80.0,1
10147,2012-03-12 00:00:00,2013-08-23 00:00:00,17,M,38,43147.0,333,18309,17976,529 days 00:00:00.000000000,12411.595463137995,2312.6800000000003,1
10148,2011-04-27 00:00:00,2011-08-25 00:00:00,5,F,42,45434.0,52,5589,5537,120 days 00:00:00.000000000,16853.24375,,0
10149,2011-04-10 00:00:00,2011-04-10 00:00:00,1,M,53,44023.0,29553,29553,0,0 days 00:00:00.000000000,,,0
10150,2012-11-29 00:00:00,2013-04-18 00:00:00,5,F,40,44044.0,734,4859,4125,140 days 00:00:00.000000000,10761.830357142857,,0
10151,2009-10-05 00:00:00,2011-05-26 00:00:00,20,M,50,43065.0,12899,29618,16719,598 days 00:00:00.000000000,10211.730351170569,,0
10152,2011-07-30 00:00:00,2013-08-18 00:00:00,25,M,51,43065.0,1472,28147,26675,750 days 00:00:00.000000000,12990.725000000002,,0
10153,2010-11-22 00:00:00,2013-09-03 00:00:00,34,M,53,43164.0,684,49288,48604,1016 days 00:00:00.000000000,17473.042322834648,,0
10154,2013-05-22 00:00:00,2013-07-25 00:00:00,2,M,82,44903.0,18753,19502,749,64 days 00:00:00.000000000,4274.56640625,,0
10155,2010-05-06 00:00:00,2011-04-02 00:00:00,11,F,60,44133.0,19918,27282,7364,331 days 00:00:00.000000000,8125.984894259818,,0
10156,2011-04-09 00:00:00,2011-11-06 00:00:00,8,F,61,44133.0,288,4786,4498,211 days 00:00:00.000000000,7786.229857819904,,0
10157,2009-11-10 00:00:00,2010-02-08 00:00:00,4,M,63,44035.0,18980,21652,2672,90 days 00:00:00.000000000,10843.866666666667,,0
10158,2009-09-15 00:00:00,2012-08-30 00:00:00,35,M,59,43567.0,13244,33967,20723,1080 days 00:00:00.000000000,7008.403472222222,,0
10159,2011-02-19 00:00:00,2011-08-03 00:00:00,6,M,45,44212.0,1013,10072,9059,165 days 00:00:00.000000000,20053.331818181818,714.62,1
10160,2010-02-24 00:00:00,2013-09-07 00:00:00,12,F,56,44094.0,21112,61182,40070,1291 days 00:00:00.000000000,11336.613090627421,,0
10161,2012-12-24 00:00:00,2013-07-18 00:00:00,7,M,62,44052.0,7461,12227,4766,206 days 00:00:00.000000000,8450.39563106796,,0
10162,2010-08-20 00:00:00,2013-09-04 00:00:00,30,F,64,43152.0,1101,36296,35195,1111 days 00:00:00.000000000,11570.633438343833,,0
10163,2011-11-20 00:00:00,2012-02-25 00:00:00,4,F,23,45459.0,813,4234,3421,97 days 00:00:00.000000000,12881.652061855671,,0
10164,2012-12-02 00:00:00,2013-07-30 00:00:00,7,M,62,45255.0,24365,28735,4370,240 days 00:00:00.000000000,6650.59375,,0
10165,2010-04-09 00:00:00,2012-12-27 00:00:00,28,M,68,45305.0,1163,41723,40560,993 days 00:00:00.000000000,14918.972809667674,8024.379999999999,1
10166,2012-10-19 00:00:00,2013-09-14 00:00:00,12,M,65,44406.0,7809,29008,21199,330 days 00:00:00.000000000,23463.438636363637,,0
10167,2009-10-06 00:00:00,2012-12-20 00:00:00,36,F,66,44054.0,19431,28369,8938,1171 days 00:00:00.000000000,2787.877455166524,1593.13,1
10168,2011-09-11 00:00:00,2013-07-15 00:00:00,23,M,59,45662.0,560,38211,37651,673 days 00:00:00.000000000,20433.91939078752,,0
10169,2011-05-06 00:00:00,2011-07-06 00:00:00,3,M,55,43016.0,13439,14681,1242,61 days 00:00:00.000000000,7436.729508196722,,0
10170,2012-11-20 00:00:00,2013-07-19 00:00:00,9,M,85,43230.0,26690,30099,3409,241 days 00:00:00.000000000,5166.544605809128,,0
10171,2010-02-17 00:00:00,2012-01-09 00:00:00,23,M,66,44124.0,7726,18523,10797,691 days 00:00:00.000000000,5707.097322720695,,0
10172,2011-11-08 00:00:00,2013-08-28 00:00:00,22,M,57,44116.0,523,14236,13713,659 days 00:00:00.000000000,7600.41464339909,,0
10173,2012-05-01 00:00:00,2013-09-22 00:00:00,15,M,63,44124.0,24007,35526,11519,509 days 00:00:00.000000000,8265.844302554027,,0
10174,2010-02-25 00:00:00,2012-02-15 00:00:00,25,F,59,44035.0,99,30228,30129,720 days 00:00:00.000000000,15284.190625000001,,0
10175,2012-03-09 00:00:00,2013-07-31 00:00:00,17,M,69,45356.0,156,15952,15796,509 days 00:00:00.000000000,11334.948919449902,,0
10176,2011-05-26 00:00:00,2012-02-19 00:00:00,10,M,68,45356.0,61211,67754,6543,269 days 00:00:00.000000000,8884.129182156134,,0
10177,2010-07-23 00:00:00,2013-09-26 00:00:00,36,M,81,45324.0,43436,80990,37554,1161 days 00:00:00.000000000,11814.468992248063,,0
10178,2013-02-22 00:00:00,2013-05-23 00:00:00,4,F,69,44431.0,12473,14024,1551,90 days 00:00:00.000000000,6294.475,,0
10179,2011-11-05 00:00:00,2013-09-26 00:00:00,22,F,56,44118.0,24798,48901,24103,691 days 00:00:00.000000000,12740.406295224313,1205.0,1
10180,2009-11-23 00:00:00,2011-02-02 00:00:00,14,M,62,43014.0,3335,8289,4954,436 days 00:00:00.000000000,4150.111238532109,,0
10181,2011-03-08 00:00:00,2013-06-03 00:00:00,20,M,63,43014.0,693,14215,13522,818 days 00:00:00.000000000,6037.787897310513,,0
10182,2011-07-23 00:00:00,2013-06-26 00:00:00,23,M,71,44143.0,28610,34395,5785,704 days 00:00:00.000000000,3001.3796164772725,,0
10183,2009-10-15 00:00:00,2013-07-26 00:00:00,46,M,53,45102.0,6503,61513,55010,1380 days 00:00:00.000000000,14559.711956521738,,0
10184,2009-08-19 00:00:00,2010-07-15 00:00:00,12,F,31,45102.0,44189,57809,13620,330 days 00:00:00.000000000,15074.863636363638,,0
10185,2011-04-24 00:00:00,2011-06-24 00:00:00,3,M,60,44035.0,36650,39204,2554,61 days 00:00:00.000000000,15292.598360655738,,0
10186,2012-08-07 00:00:00,2013-01-05 00:00:00,6,M,40,45238.0,294,7967,7673,151 days 00:00:00.000000000,18560.021523178806,,0
10187,2010-07-09 00:00:00,2012-06-08 00:00:00,24,M,38,45238.0,5307,38535,33228,700 days 00:00:00.000000000,17337.895714285714,,0
10188,2009-10-07 00:00:00,2013-01-19 00:00:00,37,F,73,44805.0,34140,62928,28788,1200 days 00:00:00.000000000,8762.3475,2228.54,1
10189,2011-05-14 00:00:00,2012-10-04 00:00:00,18,M,49,43147.0,25776,33561,7785,509 days 00:00:00.000000000,5586.387524557957,,0
10190,2011-01-15 00:00:00,2013-08-30 00:00:00,32,M,41,43221.0,613,32644,32031,958 days 00:00:00.000000000,12212.236691022965,,0
10191,2011-04-03 00:00:00,2011-04-03 00:00:00,1,M,49,45885.0,21289,21289,0,0 days 00:00:00.000000000,,,0
10192,2009-08-23 00:00:00,2009-08-23 00:00:00,1,M,71,45429.0,5236,5236,0,0 days 00:00:00.000000000,,1416.32,1
10193,2011-05-16 00:00:00,2013-09-02 00:00:00,29,M,70,43140.0,24395,49541,25146,840 days 00:00:00.000000000,10934.019642857143,,0
10194,2009-09-05 00:00:00,2010-04-29 00:00:00,7,,109,44720.0,10581,11600,1019,236 days 00:00:00.000000000,1577.0752118644068,,0
10195,2013-03-26 00:00:00,2013-07-24 00:00:00,5,F,66,43214.0,90507,92139,1632,120 days 00:00:00.000000000,4967.400000000001,,0
10196,2011-02-17 00:00:00,2013-09-05 00:00:00,31,F,69,43701.0,5627,24559,18932,931 days 00:00:00.000000000,7427.403866809882,,0
10197,2013-05-29 00:00:00,2013-09-07 00:00:00,4,M,59,44147.0,537,3488,2951,101 days 00:00:00.000000000,10671.809405940594,,0
10198,2010-11-04 00:00:00,2013-04-22 00:00:00,29,M,56,44147.0,213,29250,29037,900 days 00:00:00.000000000,11784.182499999999,,0
10199,2009-08-09 00:00:00,2012-01-25 00:00:00,29,M,68,43623.0,13853,27501,13648,899 days 00:00:00.000000000,5544.974416017797,4895.39,1
10200,2010-05-20 00:00:00,2011-05-20 00:00:00,13,M,38,43567.0,1491,6171,4680,365 days 00:00:00.000000000,4683.2054794520545,,0
10201,2012-07-04 00:00:00,2013-08-27 00:00:00,13,M,60,44052.0,10757,17656,6899,419 days 00:00:00.000000000,6013.9850835322195,,0
10202,2012-04-20 00:00:00,2013-09-12 00:00:00,17,F,40,45036.0,206,28255,28049,510 days 00:00:00.000000000,20088.03382352941,,0
10203,2009-10-27 00:00:00,2011-04-20 00:00:00,19,M,65,44143.0,5397,24009,18612,540 days 00:00:00.000000000,12588.95,,0
10204,2011-12-11 00:00:00,2012-05-17 00:00:00,6,M,31,43506.0,175,14329,14154,158 days 00:00:00.000000000,32719.927215189873,,0
10205,2010-02-08 00:00:00,2012-01-26 00:00:00,23,M,64,43082.0,9827,22871,13044,717 days 00:00:00.000000000,6644.799163179916,,0
10206,2011-06-14 00:00:00,2013-09-06 00:00:00,27,F,75,45414.0,17466,31222,13756,815 days 00:00:00.000000000,6164.882208588958,,0
10207,2013-03-03 00:00:00,2013-07-31 00:00:00,5,M,61,43560.0,10123,13386,3263,150 days 00:00:00.000000000,7945.405000000001,,0
10208,2010-01-16 00:00:00,2013-09-01 00:00:00,44,F,77,44130.0,19615,28604,8989,1324 days 00:00:00.000000000,2479.782666163142,,0
10209,2012-01-24 00:00:00,2013-07-17 00:00:00,18,M,29,44511.0,11155,28324,17169,540 days 00:00:00.000000000,11612.920833333334,0.0,1
10210,2010-04-21 00:00:00,2011-10-14 00:00:00,19,M,70,45238.0,12915,23838,10923,541 days 00:00:00.000000000,7374.539279112754,,0
10211,2011-12-11 00:00:00,2013-09-01 00:00:00,21,M,72,45238.0,452,11474,11022,630 days 00:00:00.000000000,6390.135714285714,3832.76,1
10212,2013-05-18 00:00:00,2013-09-15 00:00:00,5,M,57,43212.0,6751,9662,2911,120 days 00:00:00.000000000,8860.35625,,0
10213,2010-04-16 00:00:00,2011-05-11 00:00:00,13,M,58,44136.0,24,17828,17804,390 days 00:00:00.000000000,16674.130769230767,,0
10214,2012-10-22 00:00:00,2013-09-30 00:00:00,12,M,66,44044.0,4340,13076,8736,343 days 00:00:00.000000000,9302.69387755102,,0
10215,2010-02-09 00:00:00,2013-08-22 00:00:00,39,F,75,44481.0,32015,42395,10380,1290 days 00:00:00.000000000,2938.9883720930234,,0
10216,2009-09-30 00:00:00,2011-10-17 00:00:00,23,F,55,44431.0,41972,52582,10610,747 days 00:00:00.000000000,5187.821285140562,,0
10217,2011-05-05 00:00:00,2013-09-15 00:00:00,14,M,61,45459.0,208,10262,10054,864 days 00:00:00.000000000,4250.258680555556,7328.33,1
10218,2011-01-26 00:00:00,2012-11-11 00:00:00,19,M,67,44134.0,274,11334,11060,655 days 00:00:00.000000000,6167.427480916031,,0
10219,2012-12-14 00:00:00,2013-09-12 00:00:00,9,M,69,44134.0,19,3475,3456,272 days 00:00:00.000000000,4640.823529411765,,0
10220,2009-10-21 00:00:00,2010-06-18 00:00:00,9,M,40,44471.0,8412,12362,3950,240 days 00:00:00.000000000,6011.40625,,0
10221,2012-10-08 00:00:00,2013-09-04 00:00:00,12,M,63,44805.0,25,5416,5391,331 days 00:00:00.000000000,5948.830060422961,,0
10222,2012-07-16 00:00:00,2013-09-09 00:00:00,11,M,74,45211.0,31845,38600,6755,420 days 00:00:00.000000000,5874.4375,,0
10223,2009-09-03 00:00:00,2011-11-20 00:00:00,27,F,65,44129.0,16699,27002,10303,808 days 00:00:00.000000000,4657.389542079208,,0
10224,2009-11-02 00:00:00,2010-08-29 00:00:00,9,M,37,45449.0,527,16847,16320,300 days 00:00:00.000000000,19869.600000000002,,0
