DRIVER_ID,amin,amax,Nmonths,Gender,Age,ZIP,OdoStart,OdoEnd,DeltaOdo,DeltaDays,AnnualMileage,ClaimTot,ClaimFlag
1,2010-02-24 00:00:00,2013-08-07 00:00:00,42,M,67,43725.0,27264,59200,31936,1260 days 00:00:00.000000000,9257.638095238095,8192.39,1
2,2010-04-18 00:00:00,2013-08-31 00:00:00,41,F,49,44149.0,53627,131606,77979,1231 days 00:00:00.000000000,23137.1484565394,,0
3,2011-02-14 00:00:00,2011-06-13 00:00:00,5,M,41,43123.0,3098,11122,8024,119 days 00:00:00.000000000,24628.285714285714,665.62,1
4,2013-03-15 00:00:00,2013-08-12 00:00:00,6,M,64,44646.0,114,8400,8286,150 days 00:00:00.000000000,20176.41,,0
5,2011-03-02 00:00:00,2013-08-19 00:00:00,28,M,67,43719.0,11,37222,37211,901 days 00:00:00.000000000,15084.703385127636,106.0,1
6,2009-08-17 00:00:00,2011-02-07 00:00:00,19,M,66,43719.0,25333,44990,19657,539 days 00:00:00.000000000,13320.44387755102,387.97,1
7,2010-03-08 00:00:00,2013-01-22 00:00:00,35,M,73,44121.0,26715,50486,23771,1051 days 00:00:00.000000000,8261.044481446243,0.0,1
8,2010-01-11 00:00:00,2012-12-25 00:00:00,35,M,48,45103.0,106541,175411,68870,1079 days 00:00:00.000000000,23313.037534754403,,0
9,2013-02-20 00:00:00,2013-08-24 00:00:00,7,M,51,45103.0,1051,14546,13495,185 days 00:00:00.000000000,26643.506756756757,,0
10,2013-06-15 00:00:00,2013-08-14 00:00:00,3,M,33,45066.0,2440,5355,2915,60 days 00:00:00.000000000,17745.0625,,0
11,2011-05-25 00:00:00,2013-09-11 00:00:00,10,F,40,44138.0,75,8909,8834,840 days 00:00:00.000000000,3841.2125,,0
12,2010-01-13 00:00:00,2013-08-25 00:00:00,43,F,44,44144.0,1557,44287,42730,1320 days 00:00:00.000000000,11823.585227272728,0.0,1
13,2011-12-19 00:00:00,2013-08-31 00:00:00,21,M,52,44312.0,405,17979,17574,621 days 00:00:00.000000000,10336.398550724636,,0
14,2010-08-23 00:00:00,2013-09-06 00:00:00,37,M,46,45039.0,2536,61349,58813,1110 days 00:00:00.000000000,19352.65608108108,,0
15,2013-08-29 00:00:00,2013-08-29 00:00:00,1,M,92,45377.0,25861,25861,0,0 days 00:00:00.000000000,,,0
16,2009-08-28 00:00:00,2013-07-25 00:00:00,44,M,53,44843.0,1429,85746,84317,1427 days 00:00:00.000000000,21581.48861247372,,0
17,2009-08-18 00:00:00,2010-02-23 00:00:00,7,M,39,43056.0,2658,7361,4703,189 days 00:00:00.000000000,9088.734126984127,,0
18,2010-01-10 00:00:00,2013-09-18 00:00:00,39,M,88,44138.0,16041,23509,7468,1347 days 00:00:00.000000000,2025.008908685969,,0
19,2009-08-13 00:00:00,2009-09-12 00:00:00,2,M,74,45459.0,7699,8735,1036,30 days 00:00:00.000000000,12613.300000000001,,0
20,2010-06-15 00:00:00,2010-08-15 00:00:00,3,F,45,44412.0,595,3596,3001,61 days 00:00:00.000000000,17969.102459016394,,0
21,2011-05-25 00:00:00,2011-10-03 00:00:00,6,,111,44706.0,675,4545,3870,131 days 00:00:00.000000000,10790.209923664122,,0
22,2011-05-20 00:00:00,2013-08-07 00:00:00,28,M,69,44870.0,26142,47932,21790,810 days 00:00:00.000000000,9825.675925925925,,0
23,2010-01-13 00:00:00,2010-11-09 00:00:00,11,M,64,45385.0,983,10035,9052,300 days 00:00:00.000000000,11020.810000000001,,0
24,2010-12-03 00:00:00,2011-05-02 00:00:00,6,M,65,45385.0,30,3728,3698,150 days 00:00:00.000000000,9004.630000000001,,0
25,2011-05-17 00:00:00,2013-09-04 00:00:00,27,M,61,44266.0,45077,67306,22229,841 days 00:00:00.000000000,9654.15249702735,,0
26,2012-02-18 00:00:00,2013-08-02 00:00:00,18,,112,45324.0,74,4563,4489,531 days 00:00:00.000000000,3087.7725988700563,,0
27,2010-01-05 00:00:00,2013-08-23 00:00:00,40,M,69,44144.0,2297,24248,21951,1326 days 00:00:00.000000000,6046.45757918552,,0
28,2011-05-31 00:00:00,2013-08-17 00:00:00,28,M,77,44451.0,17362,31415,14053,809 days 00:00:00.000000000,6344.69499381953,,0
29,2009-08-27 00:00:00,2011-05-22 00:00:00,18,M,83,45039.0,45700,54157,8457,633 days 00:00:00.000000000,4879.809241706162,,0
30,2011-05-29 00:00:00,2013-02-13 00:00:00,21,M,50,45013.0,3239,29055,25816,626 days 00:00:00.000000000,15062.76996805112,,0
31,2009-09-06 00:00:00,2011-08-23 00:00:00,19,M,61,43017.0,3541,7616,4075,716 days 00:00:00.000000000,2078.762220670391,,0
32,2013-04-16 00:00:00,2013-08-15 00:00:00,5,F,73,45236.0,14042,14887,845,121 days 00:00:00.000000000,2550.712809917355,,0
33,2013-04-26 00:00:00,2013-07-25 00:00:00,3,F,53,45204.0,1122,3581,2459,90 days 00:00:00.000000000,9979.441666666668,,0
34,2013-09-18 00:00:00,2013-09-18 00:00:00,1,F,54,44820.0,431,431,0,0 days 00:00:00.000000000,,,0
35,2013-06-06 00:00:00,2013-08-09 00:00:00,3,F,26,43110.0,17,3085,3068,64 days 00:00:00.000000000,17509.171875,,0
36,2011-06-13 00:00:00,2013-08-10 00:00:00,26,F,54,45385.0,23,4948,4925,789 days 00:00:00.000000000,2279.919201520913,,0
37,2013-04-03 00:00:00,2013-06-03 00:00:00,3,M,57,44212.0,838,1593,755,61 days 00:00:00.000000000,4520.7172131147545,,0
38,2011-05-16 00:00:00,2013-08-31 00:00:00,28,F,44,43973.0,41163,75083,33920,838 days 00:00:00.000000000,14784.343675417662,2746.44,1
39,2010-05-21 00:00:00,2011-03-07 00:00:00,11,M,72,44212.0,754,5710,4956,290 days 00:00:00.000000000,6241.996551724138,,0
40,2009-12-05 00:00:00,2010-03-24 00:00:00,4,F,64,44902.0,2590,3138,548,109 days 00:00:00.000000000,1836.302752293578,,0
41,2013-03-22 00:00:00,2013-08-03 00:00:00,6,M,57,45439.0,2106,2404,298,134 days 00:00:00.000000000,812.2723880597015,,0
42,2010-02-09 00:00:00,2010-02-09 00:00:00,1,M,34,44035.0,17486,17486,0,0 days 00:00:00.000000000,,,0
43,2009-08-06 00:00:00,2011-05-31 00:00:00,16,M,72,43408.0,26334,31940,5606,663 days 00:00:00.000000000,3088.3733031674205,,0
44,2009-08-07 00:00:00,2010-02-03 00:00:00,6,M,56,44145.0,7711,14274,6563,180 days 00:00:00.000000000,13317.420833333334,,0
45,2009-08-07 00:00:00,2013-07-28 00:00:00,44,M,76,44130.0,24123,49397,25274,1451 days 00:00:00.000000000,6362.0458304617505,,0
46,2011-05-27 00:00:00,2011-09-07 00:00:00,5,F,45,44147.0,428,2406,1978,103 days 00:00:00.000000000,7014.218446601942,0.0,1
47,2010-04-05 00:00:00,2010-12-13 00:00:00,9,M,58,44017.0,52093,60141,8048,252 days 00:00:00.000000000,11664.809523809523,,0
48,2011-02-03 00:00:00,2012-09-25 00:00:00,19,M,59,44017.0,9044,26778,17734,600 days 00:00:00.000000000,10795.5725,,0
49,2011-05-09 00:00:00,2013-04-21 00:00:00,17,F,44,44077.0,661,52653,51992,713 days 00:00:00.000000000,26634.05049088359,,0
50,2012-07-09 00:00:00,2012-12-04 00:00:00,6,,112,44437.0,17439,22456,5017,148 days 00:00:00.000000000,12381.481418918918,,0
51,2009-08-01 00:00:00,2013-09-10 00:00:00,50,M,60,44641.0,18855,53343,34488,1501 days 00:00:00.000000000,8392.233177881411,52.88,1
52,2009-11-04 00:00:00,2011-04-28 00:00:00,18,F,63,44406.0,12851,20954,8103,540 days 00:00:00.000000000,5480.779166666667,,0
53,2012-01-20 00:00:00,2013-08-12 00:00:00,20,M,31,43701.0,1947,63149,61202,570 days 00:00:00.000000000,39217.597368421055,6052.8,1
54,2011-07-10 00:00:00,2013-08-22 00:00:00,26,M,38,43017.0,42560,91493,48933,774 days 00:00:00.000000000,23091.444767441862,656.3100000000001,1
55,2011-11-11 00:00:00,2013-08-23 00:00:00,21,M,65,43207.0,421,18497,18076,651 days 00:00:00.000000000,10141.718894009216,455.37,1
56,2009-09-03 00:00:00,2013-07-09 00:00:00,40,F,74,45459.0,7410,30839,23429,1405 days 00:00:00.000000000,6090.706227758007,,0
57,2010-02-01 00:00:00,2013-04-14 00:00:00,37,F,66,45236.0,3902,22453,18551,1168 days 00:00:00.000000000,5801.158176369863,635.01,1
58,2013-06-05 00:00:00,2013-09-04 00:00:00,4,F,69,45236.0,17,1547,1530,91 days 00:00:00.000000000,6141.016483516483,,0
59,2009-10-11 00:00:00,2013-09-18 00:00:00,41,M,73,43410.0,13158,29024,15866,1438 days 00:00:00.000000000,4029.941933240612,,0
60,2012-04-23 00:00:00,2013-09-17 00:00:00,17,F,56,43830.0,1110,17979,16869,512 days 00:00:00.000000000,12033.98876953125,2014.93,1
61,2011-04-30 00:00:00,2012-05-18 00:00:00,2,F,33,45011.0,815,10620,9805,384 days 00:00:00.000000000,9326.240234375,,0
62,2011-08-17 00:00:00,2011-08-17 00:00:00,1,M,52,45690.0,41928,41928,0,0 days 00:00:00.000000000,,,0
63,2011-05-11 00:00:00,2013-08-27 00:00:00,25,,111,45459.0,39520,70844,31324,839 days 00:00:00.000000000,13636.580452920143,4757.67,1
64,2009-10-20 00:00:00,2013-08-30 00:00:00,46,F,72,45242.0,32025,54878,22853,1410 days 00:00:00.000000000,5919.8994680851065,,0
65,2009-08-28 00:00:00,2013-08-22 00:00:00,49,M,46,44095.0,542,53327,52785,1455 days 00:00:00.000000000,13250.667525773195,,0
66,2011-03-24 00:00:00,2013-08-27 00:00:00,29,M,56,43905.0,38907,76264,37357,887 days 00:00:00.000000000,15382.913472378805,1196.4,1
67,2010-08-02 00:00:00,2011-07-29 00:00:00,12,F,47,43614.0,249,10189,9940,361 days 00:00:00.000000000,10057.02216066482,,0
68,2010-02-08 00:00:00,2012-02-27 00:00:00,21,,110,43017.0,30526,47166,16640,749 days 00:00:00.000000000,8114.499332443258,,0
69,2011-10-19 00:00:00,2012-03-17 00:00:00,6,M,42,44001.0,252,11592,11340,150 days 00:00:00.000000000,27612.9,,0
70,2013-06-23 00:00:00,2013-08-24 00:00:00,3,F,65,45140.0,3761,6933,3172,62 days 00:00:00.000000000,18686.66129032258,,0
71,2010-11-01 00:00:00,2012-04-14 00:00:00,15,M,52,43026.0,155,9285,9130,530 days 00:00:00.000000000,6291.948113207547,,0
72,2011-04-06 00:00:00,2013-01-26 00:00:00,22,M,56,44256.0,16397,46653,30256,661 days 00:00:00.000000000,16718.614220877458,,0
73,2011-05-20 00:00:00,2013-08-04 00:00:00,27,M,83,44641.0,53107,73861,20754,807 days 00:00:00.000000000,9393.306691449814,,0
74,2011-08-23 00:00:00,2011-12-23 00:00:00,4,F,46,43235.0,2308,8430,6122,122 days 00:00:00.000000000,18328.364754098362,,0
75,2012-08-15 00:00:00,2013-07-11 00:00:00,12,M,71,45066.0,252,20649,20397,330 days 00:00:00.000000000,22575.770454545454,3731.1099999999997,1
76,2013-02-09 00:00:00,2013-09-07 00:00:00,8,M,72,44483.0,8021,13649,5628,210 days 00:00:00.000000000,9788.7,418.79,1
77,2011-02-04 00:00:00,2013-08-16 00:00:00,31,M,48,44223.0,122,27412,27290,924 days 00:00:00.000000000,10787.52435064935,9716.46,1
78,2010-10-12 00:00:00,2012-09-01 00:00:00,24,M,69,43701.0,213,30585,30372,690 days 00:00:00.000000000,16077.352173913043,790.35,1
79,2011-06-10 00:00:00,2013-08-04 00:00:00,14,F,81,44124.0,8933,9203,270,786 days 00:00:00.000000000,125.4675572519084,,0
80,2009-10-30 00:00:00,2010-06-27 00:00:00,9,F,31,45036.0,33433,45519,12086,240 days 00:00:00.000000000,18393.381250000002,,0
81,2011-02-03 00:00:00,2011-08-23 00:00:00,5,M,50,44410.0,503,8308,7805,201 days 00:00:00.000000000,14182.966417910446,,0
82,2010-06-26 00:00:00,2013-08-09 00:00:00,39,M,67,44146.0,6507,31207,24700,1140 days 00:00:00.000000000,7913.75,,0
83,2009-10-07 00:00:00,2012-06-20 00:00:00,32,F,73,43227.0,46183,58220,12037,987 days 00:00:00.000000000,4454.421732522796,,0
84,2009-12-23 00:00:00,2010-12-18 00:00:00,13,F,57,45458.0,29615,43556,13941,360 days 00:00:00.000000000,14144.306250000001,,0
85,2012-01-07 00:00:00,2013-08-29 00:00:00,19,F,49,44223.0,45396,75115,29719,600 days 00:00:00.000000000,18091.44125,,0
86,2011-06-25 00:00:00,2013-09-08 00:00:00,26,F,53,44484.0,4343,21619,17276,806 days 00:00:00.000000000,7828.857320099255,,0
87,2009-11-10 00:00:00,2013-08-20 00:00:00,46,F,36,45304.0,33707,94439,60732,1379 days 00:00:00.000000000,16085.832487309644,813.48,1
88,2010-01-19 00:00:00,2012-04-08 00:00:00,27,F,61,45458.0,2522,23554,21032,810 days 00:00:00.000000000,9483.874074074074,10259.84,1
89,2009-09-03 00:00:00,2013-01-17 00:00:00,32,M,73,44131.0,14061,41769,27708,1232 days 00:00:00.000000000,8214.56737012987,,0
90,2009-11-19 00:00:00,2009-11-19 00:00:00,1,M,70,44039.0,10565,10565,0,0 days 00:00:00.000000000,,,0
91,2011-06-09 00:00:00,2012-03-06 00:00:00,9,M,72,44039.0,2246,10699,8453,271 days 00:00:00.000000000,11392.834870848708,,0
92,2012-05-03 00:00:00,2013-08-26 00:00:00,16,M,63,43512.0,25831,41831,16000,480 days 00:00:00.000000000,12175.0,,0
93,2010-12-20 00:00:00,2013-08-06 00:00:00,31,F,53,45373.0,815,26953,26138,960 days 00:00:00.000000000,9944.6921875,,0
94,2009-08-06 00:00:00,2013-08-16 00:00:00,47,F,83,45459.0,16011,30903,14892,1471 days 00:00:00.000000000,3697.69068660775,417.17,1
95,2010-09-16 00:00:00,2013-09-01 00:00:00,37,F,57,43420.0,76,16699,16623,1081 days 00:00:00.000000000,5616.605689176688,,0
96,2010-02-23 00:00:00,2010-07-23 00:00:00,6,F,56,43420.0,18460,20973,2513,150 days 00:00:00.000000000,6119.155000000001,,0
97,2009-10-12 00:00:00,2013-08-21 00:00:00,45,F,47,44089.0,26835,63978,37143,1409 days 00:00:00.000000000,9628.446238466999,,0
98,2013-02-07 00:00:00,2013-04-09 00:00:00,3,M,67,43082.0,35904,37554,1650,61 days 00:00:00.000000000,9879.713114754099,,0
99,2009-11-22 00:00:00,2009-11-22 00:00:00,1,M,69,44481.0,24647,24647,0,0 days 00:00:00.000000000,,,0
100,2012-09-20 00:00:00,2013-09-15 00:00:00,12,F,61,45419.0,483,4948,4465,360 days 00:00:00.000000000,4530.114583333334,,0
101,2013-03-16 00:00:00,2013-09-16 00:00:00,6,M,85,45236.0,482,3094,2612,184 days 00:00:00.000000000,5184.96195652174,,0
102,2012-01-20 00:00:00,2013-09-11 00:00:00,19,M,65,43232.0,1227,11246,10019,600 days 00:00:00.000000000,6099.06625,,0
103,2012-07-06 00:00:00,2013-08-30 00:00:00,14,M,71,45068.0,17255,39240,21985,420 days 00:00:00.000000000,19119.098214285714,,0
104,2009-08-28 00:00:00,2010-12-20 00:00:00,17,M,67,44011.0,3849,15353,11504,479 days 00:00:00.000000000,8772.100208768268,,0
105,2011-01-29 00:00:00,2013-08-16 00:00:00,31,M,69,44011.0,103,30992,30889,930 days 00:00:00.000000000,12131.40564516129,864.27,1
106,2009-10-26 00:00:00,2013-09-05 00:00:00,46,F,51,44121.0,9020,55345,46325,1410 days 00:00:00.000000000,12000.146276595746,,0
107,2013-07-17 00:00:00,2013-09-15 00:00:00,3,M,30,43213.0,5361,7833,2472,60 days 00:00:00.000000000,15048.300000000001,,0
108,2010-06-26 00:00:00,2013-04-04 00:00:00,23,M,58,45371.0,57,21502,21445,1013 days 00:00:00.000000000,7732.266781836131,,0
109,2013-07-25 00:00:00,2013-09-04 00:00:00,3,M,61,45371.0,1309,3347,2038,41 days 00:00:00.000000000,18155.59756097561,,0
110,2012-10-03 00:00:00,2013-07-31 00:00:00,9,M,76,45013.0,45,9685,9640,301 days 00:00:00.000000000,11697.707641196013,,0
111,2010-04-29 00:00:00,2012-04-09 00:00:00,25,M,60,44706.0,165,11842,11677,711 days 00:00:00.000000000,5998.627637130801,,0
112,2011-06-09 00:00:00,2013-08-31 00:00:00,27,F,41,45426.0,1310,37453,36143,814 days 00:00:00.000000000,16217.728194103194,,0
113,2012-12-22 00:00:00,2013-08-10 00:00:00,9,M,77,44122.0,300,8059,7759,231 days 00:00:00.000000000,12268.28896103896,,0
114,2010-08-17 00:00:00,2012-10-27 00:00:00,24,M,75,44122.0,600,38319,37719,802 days 00:00:00.000000000,17178.13559850374,,0
115,2011-07-18 00:00:00,2013-09-05 00:00:00,26,M,60,45373.0,4226,21169,16943,780 days 00:00:00.000000000,7933.885576923077,,0
116,2012-01-16 00:00:00,2012-05-30 00:00:00,5,M,71,44278.0,564,3472,2908,135 days 00:00:00.000000000,7867.7555555555555,,0
117,2011-09-08 00:00:00,2012-01-27 00:00:00,5,F,35,43935.0,955,4381,3426,141 days 00:00:00.000000000,8874.797872340425,,0
118,2013-05-18 00:00:00,2013-09-16 00:00:00,5,M,64,43420.0,413,2972,2559,121 days 00:00:00.000000000,7724.584710743801,,0
119,2011-12-22 00:00:00,2012-02-20 00:00:00,3,M,44,45013.0,15109,16971,1862,60 days 00:00:00.000000000,11334.925000000001,,0
120,2011-08-09 00:00:00,2012-09-02 00:00:00,14,M,38,44136.0,47054,62053,14999,390 days 00:00:00.000000000,14047.140384615384,,0
121,2013-01-19 00:00:00,2013-05-19 00:00:00,4,F,34,44870.0,1911,6023,4112,120 days 00:00:00.000000000,12515.900000000001,,0
122,2009-09-06 00:00:00,2012-02-28 00:00:00,30,M,45,43076.0,92021,161890,69869,905 days 00:00:00.000000000,28198.510773480662,,0
123,2011-08-04 00:00:00,2011-12-02 00:00:00,5,M,50,43162.0,60,3748,3688,120 days 00:00:00.000000000,11225.35,,0
124,2011-11-07 00:00:00,2013-08-19 00:00:00,21,M,30,44460.0,341,9947,9606,651 days 00:00:00.000000000,5389.541474654377,,0
125,2010-06-08 00:00:00,2011-05-04 00:00:00,12,M,66,43068.0,19,11575,11556,330 days 00:00:00.000000000,12790.39090909091,,0
126,2009-11-17 00:00:00,2012-11-01 00:00:00,36,M,81,44720.0,22880,53182,30302,1080 days 00:00:00.000000000,10247.968055555557,1606.7099999999998,1
127,2013-07-26 00:00:00,2013-09-24 00:00:00,3,M,85,44720.0,6606,8254,1648,60 days 00:00:00.000000000,10032.2,,0
128,2011-08-14 00:00:00,2013-09-02 00:00:00,25,M,56,43452.0,789,20079,19290,750 days 00:00:00.000000000,9394.230000000001,,0
129,2011-12-21 00:00:00,2011-12-21 00:00:00,1,M,49,43469.0,54738,54738,0,0 days 00:00:00.000000000,,,0
130,2009-10-01 00:00:00,2010-05-14 00:00:00,8,F,60,44870.0,2729,8111,5382,225 days 00:00:00.000000000,8736.779999999999,,0
131,2011-02-03 00:00:00,2011-12-15 00:00:00,10,M,61,45424.0,330,5832,5502,315 days 00:00:00.000000000,6379.7,,0
132,2012-01-08 00:00:00,2013-04-03 00:00:00,16,M,62,45424.0,57,16648,16591,451 days 00:00:00.000000000,13436.502771618625,,0
133,2009-09-13 00:00:00,2013-07-23 00:00:00,45,F,62,44212.0,24837,71585,46748,1409 days 00:00:00.000000000,12118.315826827537,,0
134,2009-10-23 00:00:00,2010-01-21 00:00:00,4,M,27,45440.0,22856,24856,2000,90 days 00:00:00.000000000,8116.666666666667,,0
135,2012-11-24 00:00:00,2012-11-24 00:00:00,1,F,59,44839.0,27468,27468,0,0 days 00:00:00.000000000,,,0
136,2011-07-03 00:00:00,2013-08-10 00:00:00,25,M,42,45601.0,3765,42010,38245,769 days 00:00:00.000000000,18165.13166449935,,0
137,2013-01-03 00:00:00,2013-08-31 00:00:00,8,M,42,45440.0,1877,9603,7726,240 days 00:00:00.000000000,11758.00625,,0
138,2011-04-09 00:00:00,2013-08-31 00:00:00,27,M,72,44601.0,15475,32073,16598,875 days 00:00:00.000000000,6928.479428571429,,0
139,2011-02-23 00:00:00,2011-05-24 00:00:00,4,M,69,45002.0,350,3024,2674,90 days 00:00:00.000000000,10851.983333333334,,0
140,2012-07-03 00:00:00,2012-12-13 00:00:00,6,M,53,43019.0,754,8471,7717,163 days 00:00:00.000000000,17292.234662576688,,0
141,2013-04-08 00:00:00,2013-08-06 00:00:00,5,F,42,43146.0,13159,18370,5211,120 days 00:00:00.000000000,15860.98125,,0
142,2012-03-17 00:00:00,2012-06-15 00:00:00,4,M,44,45385.0,1338,4829,3491,90 days 00:00:00.000000000,14167.641666666668,,0
143,2009-11-14 00:00:00,2013-09-20 00:00:00,39,F,62,44460.0,55907,73923,18016,1406 days 00:00:00.000000000,4680.1877667140825,,0
144,2009-11-16 00:00:00,2013-07-28 00:00:00,42,M,71,44641.0,72372,116943,44571,1350 days 00:00:00.000000000,12058.931666666665,,0
145,2011-09-19 00:00:00,2013-09-07 00:00:00,25,M,63,43125.0,40236,73786,33550,719 days 00:00:00.000000000,17043.306675938806,0.0,1
146,2011-04-11 00:00:00,2013-09-24 00:00:00,28,M,72,44870.0,5540,60314,54774,897 days 00:00:00.000000000,22303.459866220735,,0
147,2011-07-16 00:00:00,2013-04-05 00:00:00,21,F,80,44406.0,3065,12257,9192,629 days 00:00:00.000000000,5337.643879173291,,0
148,2010-07-16 00:00:00,2011-07-11 00:00:00,13,F,40,44512.0,22,8802,8780,360 days 00:00:00.000000000,8908.041666666668,328.36,1
149,2010-05-06 00:00:00,2013-09-08 00:00:00,40,F,63,45449.0,352,13698,13346,1221 days 00:00:00.000000000,3992.3230958230956,,0
150,2013-08-23 00:00:00,2013-08-23 00:00:00,1,,113,44333.0,64801,64801,0,0 days 00:00:00.000000000,,,0
151,2011-10-25 00:00:00,2013-08-20 00:00:00,23,M,67,44039.0,3544,9154,5610,665 days 00:00:00.000000000,3081.281954887218,2334.89,1
152,2011-05-17 00:00:00,2012-10-05 00:00:00,18,M,66,44410.0,9068,21634,12566,507 days 00:00:00.000000000,9052.724852071007,,0
153,2009-09-04 00:00:00,2010-08-20 00:00:00,10,M,56,44044.0,583,5108,4525,350 days 00:00:00.000000000,4722.160714285715,,0
154,2009-11-21 00:00:00,2010-03-21 00:00:00,5,M,50,44446.0,12421,15155,2734,120 days 00:00:00.000000000,8321.612500000001,,0
155,2010-02-22 00:00:00,2010-04-23 00:00:00,3,M,62,44035.0,23958,25450,1492,60 days 00:00:00.000000000,9082.550000000001,,0
156,2009-11-30 00:00:00,2010-03-28 00:00:00,5,M,83,43843.0,34411,36960,2549,118 days 00:00:00.000000000,7890.01906779661,,0
157,2012-10-06 00:00:00,2013-07-30 00:00:00,9,F,53,45053.0,94868,104257,9389,297 days 00:00:00.000000000,11546.573232323233,,0
158,2009-10-05 00:00:00,2013-08-17 00:00:00,42,M,71,44833.0,45725,69462,23737,1412 days 00:00:00.000000000,6140.183604815864,,0
159,2012-01-14 00:00:00,2013-09-19 00:00:00,19,M,69,44105.0,280,8465,8185,614 days 00:00:00.000000000,4869.008550488599,,0
160,2011-03-17 00:00:00,2011-10-27 00:00:00,6,F,69,44060.0,259,6035,5776,224 days 00:00:00.000000000,9418.232142857143,,0
161,2010-01-15 00:00:00,2011-03-15 00:00:00,15,F,68,44060.0,23062,34828,11766,424 days 00:00:00.000000000,10135.6875,,0
162,2011-12-31 00:00:00,2013-08-22 00:00:00,20,M,59,44028.0,956,19806,18850,600 days 00:00:00.000000000,11474.9375,,0
163,2013-07-26 00:00:00,2013-09-24 00:00:00,3,F,46,43017.0,217,3523,3306,60 days 00:00:00.000000000,20125.275,,0
164,2012-09-29 00:00:00,2013-02-05 00:00:00,5,M,62,45005.0,625,3142,2517,129 days 00:00:00.000000000,7126.622093023256,,0
165,2011-04-02 00:00:00,2011-09-30 00:00:00,6,M,26,43035.0,84,11242,11158,181 days 00:00:00.000000000,22516.350828729283,,0
166,2011-01-13 00:00:00,2011-08-31 00:00:00,8,F,37,45432.0,800,7071,6271,230 days 00:00:00.000000000,9958.620652173913,,0
167,2009-12-23 00:00:00,2010-08-19 00:00:00,9,M,42,44903.0,135,14523,14388,239 days 00:00:00.000000000,21988.355648535566,,0
168,2013-03-30 00:00:00,2013-09-26 00:00:00,7,M,61,44129.0,20886,25098,4212,180 days 00:00:00.000000000,8546.85,,0
169,2013-01-09 00:00:00,2013-08-07 00:00:00,8,M,64,45140.0,9130,19148,10018,210 days 00:00:00.000000000,17424.164285714287,,0
170,2011-12-27 00:00:00,2012-05-25 00:00:00,6,M,52,44133.0,267,5880,5613,150 days 00:00:00.000000000,13667.655,,0
171,2009-12-27 00:00:00,2013-08-05 00:00:00,37,M,72,44053.0,11403,33478,22075,1317 days 00:00:00.000000000,6122.166856492027,949.48,1
172,2011-06-24 00:00:00,2011-10-11 00:00:00,5,F,83,44147.0,94,802,708,109 days 00:00:00.000000000,2372.4495412844035,,0
173,2010-10-23 00:00:00,2010-12-22 00:00:00,3,M,55,45204.0,92915,95295,2380,60 days 00:00:00.000000000,14488.25,,0
174,2012-11-02 00:00:00,2013-08-29 00:00:00,9,F,54,44310.0,58524,65650,7126,300 days 00:00:00.000000000,8675.905,,0
175,2009-11-19 00:00:00,2013-09-28 00:00:00,46,M,76,43235.0,19655,67991,48336,1409 days 00:00:00.000000000,12529.967352732434,,0
176,2011-05-13 00:00:00,2013-08-30 00:00:00,28,F,68,44240.0,7405,22909,15504,840 days 00:00:00.000000000,6741.471428571429,0.0,1
177,2010-12-15 00:00:00,2011-10-11 00:00:00,11,M,42,44053.0,3750,11999,8249,300 days 00:00:00.000000000,10043.157500000001,0.0,1
178,2011-12-11 00:00:00,2013-08-30 00:00:00,14,M,43,44053.0,7607,10506,2899,628 days 00:00:00.000000000,1686.0824044585986,,0
179,2010-01-16 00:00:00,2012-10-31 00:00:00,34,M,63,45036.0,969,34353,33384,1019 days 00:00:00.000000000,11966.14916584887,,0
180,2010-10-04 00:00:00,2012-08-24 00:00:00,22,M,38,44303.0,3518,34135,30617,690 days 00:00:00.000000000,16207.042391304347,,0
181,2010-01-18 00:00:00,2012-05-26 00:00:00,25,F,63,45015.0,6636,17118,10482,859 days 00:00:00.000000000,4456.985448195576,348.38,1
182,2009-10-04 00:00:00,2012-06-18 00:00:00,32,M,76,44149.0,21914,48333,26419,988 days 00:00:00.000000000,9766.740637651823,,0
183,2010-02-01 00:00:00,2010-10-30 00:00:00,9,F,33,45039.0,27446,36481,9035,271 days 00:00:00.000000000,12177.246309963099,,0
184,2011-08-22 00:00:00,2011-10-24 00:00:00,3,F,66,44131.0,10423,11335,912,63 days 00:00:00.000000000,5287.428571428572,,0
185,2011-05-17 00:00:00,2012-03-14 00:00:00,9,F,41,43310.0,29794,33296,3502,302 days 00:00:00.000000000,4235.448675496688,,0
186,2013-08-10 00:00:00,2013-09-09 00:00:00,2,F,72,44111.0,1502,2087,585,30 days 00:00:00.000000000,7122.375,,0
187,2013-08-29 00:00:00,2013-09-28 00:00:00,2,M,54,44057.0,2306,3500,1194,30 days 00:00:00.000000000,14536.95,,0
188,2011-05-09 00:00:00,2013-09-28 00:00:00,10,M,46,45040.0,30,26487,26457,873 days 00:00:00.000000000,11069.208762886597,,0
189,2011-07-15 00:00:00,2012-08-03 00:00:00,14,M,48,45252.0,75175,86204,11029,385 days 00:00:00.000000000,10463.226623376624,,0
190,2009-10-13 00:00:00,2011-03-07 00:00:00,18,M,66,45426.0,18382,34728,16346,510 days 00:00:00.000000000,11706.620588235293,,0
191,2013-02-15 00:00:00,2013-05-28 00:00:00,4,M,85,45458.0,598,1725,1127,102 days 00:00:00.000000000,4035.6544117647063,,0
